epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1384,1.40187,2.52265,1.37843,0.92988,0.89548,0.96722,0.67566,1.09289,0.7096,1.14608,0.000206731,0.000206731,0.000206731
2,97.1244,1.21562,0.93673,1.2519,0.9225,0.95878,0.98596,0.68556,1.11016,0.65227,1.17869,0.000410955,0.000410955,0.000410955
3,143.668,1.1919,0.79602,1.24438,0.95538,0.95994,0.98799,0.70399,1.05324,0.51081,1.1664,0.000611054,0.000611054,0.000611054
4,192.659,1.15748,0.7414,1.22072,0.9463,0.95923,0.98618,0.7216,1.03704,0.53069,1.15395,0.000606437,0.000606437,0.000606437
5,251.606,1.11116,0.6946,1.19658,0.93999,0.97291,0.985,0.72261,1.05446,0.5433,1.14539,0.00060025,0.00060025,0.00060025
6,304.65,1.08108,0.66693,1.17967,0.97967,0.96086,0.9889,0.73364,1.00582,0.47228,1.13258,0.000594062,0.000594062,0.000594062
7,358.906,1.06806,0.63194,1.17544,0.96007,0.97489,0.98992,0.73097,1.00815,0.44034,1.12868,0.000587875,0.000587875,0.000587875
8,404.526,1.05428,0.60946,1.16671,0.95321,0.97467,0.98726,0.72733,1.0052,0.46387,1.12798,0.000581687,0.000581687,0.000581687
9,446.553,1.02379,0.58412,1.14667,0.96022,0.96368,0.98356,0.72303,1.04631,0.46788,1.14258,0.0005755,0.0005755,0.0005755
10,489.005,1.02039,0.58851,1.14641,0.97335,0.96537,0.99097,0.73299,1.04506,0.43676,1.13351,0.000569313,0.000569313,0.000569313
11,531.439,1.00398,0.56481,1.14208,0.97359,0.97774,0.99185,0.74917,0.98792,0.42308,1.11367,0.000563125,0.000563125,0.000563125
12,573.716,0.99503,0.54904,1.13199,0.96246,0.97192,0.98761,0.74034,1.00263,0.44638,1.12325,0.000556938,0.000556938,0.000556938
13,615.666,0.97738,0.53456,1.12659,0.97994,0.972,0.98964,0.74527,0.96903,0.41265,1.10123,0.00055075,0.00055075,0.00055075
