epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7125,1.35136,2.12094,1.30421,0.90668,0.9394,0.96488,0.65232,1.18945,0.70954,1.18366,0.000207483,0.000207483,0.000207483
2,173.479,1.21429,0.87783,1.20793,0.89773,0.91393,0.96718,0.67032,1.17984,0.68671,1.19456,0.0004117,0.0004117,0.0004117
3,255.532,1.1934,0.79092,1.20736,0.93562,0.97039,0.98003,0.60454,1.37096,0.60855,1.31157,0.000611791,0.000611791,0.000611791
4,336.749,1.16743,0.738,1.19817,0.94328,0.96748,0.98713,0.72617,1.07621,0.49931,1.16219,0.000606437,0.000606437,0.000606437
5,418.225,1.13608,0.6887,1.18676,0.93478,0.96848,0.97696,0.70032,1.09708,0.51844,1.18237,0.00060025,0.00060025,0.00060025
6,500.253,1.1051,0.64655,1.17251,0.95396,0.97336,0.98669,0.70528,1.12486,0.49187,1.17849,0.000594062,0.000594062,0.000594062
7,581.319,1.08857,0.61812,1.15977,0.94672,0.97898,0.98861,0.72398,1.07585,0.46373,1.14092,0.000587875,0.000587875,0.000587875
8,663.007,1.06916,0.59773,1.14497,0.95214,0.97802,0.98778,0.73665,1.0439,0.44951,1.1293,0.000581687,0.000581687,0.000581687
9,744.58,1.05922,0.59367,1.14112,0.9638,0.97167,0.98993,0.73252,1.06406,0.45019,1.14712,0.0005755,0.0005755,0.0005755
10,825.658,1.04808,0.57984,1.13699,0.96528,0.97842,0.98949,0.74426,1.03486,0.4324,1.1373,0.000569313,0.000569313,0.000569313
11,907.415,1.03637,0.57389,1.13126,0.95605,0.98178,0.98766,0.73992,1.05261,0.45088,1.13906,0.000563125,0.000563125,0.000563125
12,988.585,1.0153,0.55719,1.12011,0.95965,0.97648,0.98871,0.74561,1.03311,0.43392,1.13167,0.000556938,0.000556938,0.000556938
13,1070.12,1.00473,0.53913,1.10993,0.96487,0.98684,0.98969,0.74708,1.04184,0.41599,1.13948,0.00055075,0.00055075,0.00055075
14,1151.93,0.99699,0.53964,1.10838,0.95744,0.97725,0.99059,0.76035,1.01924,0.41823,1.12531,0.000544563,0.000544563,0.000544563
15,1233.18,0.99082,0.53877,1.10902,0.9748,0.97091,0.98985,0.75746,1.01986,0.41263,1.11675,0.000538375,0.000538375,0.000538375
16,1314.45,0.96978,0.52078,1.0937,0.96842,0.9725,0.98992,0.7627,0.99488,0.39747,1.10415,0.000532187,0.000532187,0.000532187
17,1396.16,0.96802,0.52476,1.10126,0.96802,0.98143,0.98905,0.75238,0.99766,0.40994,1.11489,0.000526,0.000526,0.000526
18,1477.14,0.95271,0.50759,1.08398,0.97094,0.97255,0.99086,0.76535,1.00885,0.39292,1.11042,0.000519812,0.000519812,0.000519812
19,1558.97,0.95005,0.49957,1.08292,0.97141,0.98435,0.99009,0.76397,0.99373,0.3987,1.10338,0.000513625,0.000513625,0.000513625
20,1640.53,0.93424,0.4981,1.07748,0.97328,0.98374,0.99066,0.76264,0.99994,0.39075,1.11223,0.000507438,0.000507438,0.000507438
21,1722.12,0.93338,0.49369,1.07707,0.96876,0.98151,0.99016,0.7757,0.9802,0.38736,1.09389,0.00050125,0.00050125,0.00050125
22,1803.97,0.92215,0.49165,1.06944,0.9548,0.98854,0.98947,0.76341,0.99462,0.38715,1.10371,0.000495063,0.000495063,0.000495063
23,1885.13,0.90638,0.47312,1.06271,0.96075,0.98309,0.98858,0.77475,0.97359,0.38034,1.10019,0.000488875,0.000488875,0.000488875
24,1966.13,0.89669,0.47112,1.05812,0.9669,0.98847,0.98962,0.77176,0.98442,0.38957,1.10278,0.000482687,0.000482687,0.000482687
25,2047.75,0.90875,0.46645,1.0629,0.97249,0.97599,0.99158,0.77283,0.98697,0.38239,1.10474,0.0004765,0.0004765,0.0004765
26,2128.49,0.88805,0.46088,1.05286,0.97365,0.97849,0.9912,0.77587,0.97931,0.37785,1.09931,0.000470312,0.000470312,0.000470312
27,2209.58,0.88613,0.46204,1.05266,0.96985,0.98241,0.98931,0.76709,0.99862,0.38355,1.1077,0.000464125,0.000464125,0.000464125
28,2290.49,0.8784,0.45342,1.04766,0.97501,0.97909,0.98912,0.77433,0.97957,0.37747,1.1055,0.000457938,0.000457938,0.000457938
29,2371.02,0.87511,0.45579,1.05429,0.97183,0.991,0.99031,0.77539,0.99141,0.36948,1.11152,0.00045175,0.00045175,0.00045175
30,2452.53,0.87375,0.44891,1.04558,0.96992,0.98458,0.98852,0.77124,0.99889,0.38221,1.12334,0.000445562,0.000445562,0.000445562
31,2533.15,0.86739,0.44462,1.04256,0.96407,0.98798,0.98965,0.76898,1.00897,0.37695,1.11666,0.000439375,0.000439375,0.000439375
32,2613.85,0.8619,0.44657,1.04316,0.97605,0.98176,0.99136,0.77743,0.97024,0.37052,1.10046,0.000433187,0.000433187,0.000433187
33,2694.98,0.85049,0.44208,1.03758,0.96888,0.97618,0.98968,0.7732,0.99428,0.37635,1.10635,0.000427,0.000427,0.000427
34,2777.73,0.83946,0.4291,1.02914,0.96991,0.97767,0.98881,0.77237,0.97746,0.36606,1.11081,0.000420812,0.000420812,0.000420812
35,2859.31,0.83498,0.42652,1.02637,0.97475,0.98437,0.98992,0.78302,0.96843,0.35732,1.10153,0.000414625,0.000414625,0.000414625
36,2940.84,0.82739,0.43109,1.02346,0.96293,0.98758,0.98759,0.77191,0.98792,0.36623,1.12275,0.000408438,0.000408438,0.000408438
37,3021.7,0.8263,0.42769,1.02657,0.9628,0.9848,0.99112,0.78517,0.96494,0.37521,1.10933,0.00040225,0.00040225,0.00040225
38,3104.14,0.80695,0.41698,1.01546,0.97557,0.98045,0.99002,0.78418,0.98406,0.36469,1.11515,0.000396063,0.000396063,0.000396063
39,3185.7,0.81448,0.41621,1.0174,0.97224,0.98481,0.98997,0.77892,0.97736,0.36621,1.11319,0.000389875,0.000389875,0.000389875
40,3266.65,0.80108,0.40802,1.01305,0.97334,0.98152,0.99012,0.77802,0.98914,0.36356,1.11858,0.000383688,0.000383688,0.000383688
41,3347.72,0.79502,0.40804,1.00912,0.96888,0.98463,0.98903,0.77288,0.98986,0.36716,1.12652,0.0003775,0.0003775,0.0003775
42,3428.96,0.79906,0.4071,1.01158,0.96561,0.98627,0.98704,0.77926,0.97135,0.36018,1.10745,0.000371313,0.000371313,0.000371313
43,3509.83,0.78463,0.40157,1.00079,0.96847,0.98575,0.99102,0.78171,0.99073,0.35959,1.12378,0.000365125,0.000365125,0.000365125
44,3591.51,0.78461,0.39953,1.00534,0.9662,0.98318,0.9888,0.78816,0.96651,0.35624,1.11427,0.000358938,0.000358938,0.000358938
45,3673.35,0.78062,0.39555,1.00323,0.97115,0.9892,0.98999,0.78515,0.97771,0.35657,1.11889,0.00035275,0.00035275,0.00035275
46,3753.71,0.77466,0.3939,1.00036,0.97331,0.98265,0.98952,0.78346,0.98358,0.36195,1.12811,0.000346563,0.000346563,0.000346563
47,3835.82,0.76995,0.39312,0.9997,0.96511,0.99053,0.98657,0.7848,0.97543,0.35348,1.12454,0.000340375,0.000340375,0.000340375
48,3917.11,0.76058,0.3876,0.99545,0.96404,0.98514,0.98758,0.78517,0.9844,0.35972,1.12312,0.000334188,0.000334188,0.000334188
49,3998.34,0.76288,0.39029,0.99332,0.96465,0.98938,0.9868,0.7817,0.98016,0.35879,1.12622,0.000328,0.000328,0.000328
50,4079.53,0.75083,0.38699,0.99339,0.97429,0.97267,0.98919,0.78535,0.97667,0.35329,1.11445,0.000321812,0.000321812,0.000321812
51,4160.51,0.74165,0.37957,0.98761,0.97316,0.98202,0.98841,0.78663,0.97858,0.35482,1.12823,0.000315625,0.000315625,0.000315625
52,4241.43,0.73583,0.37986,0.98438,0.97513,0.98514,0.98828,0.78584,0.98092,0.35715,1.12887,0.000309437,0.000309437,0.000309437
53,4322.65,0.73391,0.37924,0.98024,0.97529,0.9858,0.98811,0.78718,0.98723,0.35051,1.12949,0.00030325,0.00030325,0.00030325
54,4403.75,0.72695,0.37043,0.9774,0.97857,0.9828,0.9893,0.78812,0.97704,0.35665,1.12424,0.000297063,0.000297063,0.000297063
55,4484.71,0.72073,0.37262,0.97399,0.96962,0.98546,0.98893,0.78968,0.96562,0.34632,1.11481,0.000290875,0.000290875,0.000290875
56,4566.52,0.72012,0.36445,0.97464,0.97282,0.98386,0.98961,0.78725,0.98364,0.3424,1.12224,0.000284688,0.000284688,0.000284688
57,4648.73,0.70905,0.36724,0.97238,0.9728,0.98695,0.98874,0.78702,0.98069,0.34957,1.12676,0.0002785,0.0002785,0.0002785
58,4730.6,0.71235,0.36303,0.97145,0.96482,0.99135,0.99061,0.78732,0.98624,0.3513,1.12603,0.000272313,0.000272313,0.000272313
59,4811.79,0.69736,0.35645,0.96473,0.97122,0.98672,0.9898,0.78429,0.98617,0.34872,1.13211,0.000266125,0.000266125,0.000266125
60,4892.7,0.70183,0.35525,0.9672,0.96709,0.98294,0.98828,0.79229,0.98155,0.34492,1.12419,0.000259938,0.000259938,0.000259938
61,4975.47,0.69388,0.3554,0.96591,0.97098,0.98897,0.99038,0.78569,0.98637,0.35286,1.13119,0.00025375,0.00025375,0.00025375
62,5056.99,0.6849,0.35162,0.96195,0.96181,0.99181,0.98985,0.78911,0.97198,0.34611,1.12449,0.000247563,0.000247563,0.000247563
63,5138.05,0.68646,0.35032,0.95939,0.96625,0.98626,0.98948,0.79102,0.98127,0.35363,1.13201,0.000241375,0.000241375,0.000241375
64,5219.24,0.67766,0.35221,0.95848,0.96753,0.98007,0.9893,0.78985,0.97961,0.3489,1.12755,0.000235188,0.000235188,0.000235188
65,5299.7,0.67181,0.34722,0.95651,0.97259,0.98827,0.9888,0.79133,0.9725,0.34491,1.12554,0.000229,0.000229,0.000229
66,5381.25,0.65841,0.33954,0.94882,0.97125,0.99105,0.98847,0.78723,0.985,0.3468,1.13488,0.000222813,0.000222813,0.000222813
67,5463.28,0.6673,0.3504,0.95411,0.96722,0.98697,0.98836,0.78865,0.9802,0.34896,1.13316,0.000216625,0.000216625,0.000216625
68,5544.51,0.66288,0.34365,0.94886,0.97443,0.98551,0.98916,0.78909,0.97901,0.34108,1.12458,0.000210437,0.000210437,0.000210437
69,5625.37,0.65013,0.33595,0.94724,0.9709,0.9871,0.98799,0.79159,0.98544,0.34372,1.13668,0.00020425,0.00020425,0.00020425
70,5706.78,0.65061,0.33837,0.9481,0.97232,0.98454,0.98806,0.78998,0.98923,0.34584,1.14168,0.000198063,0.000198063,0.000198063
71,5787.44,0.64413,0.33402,0.94354,0.96478,0.98629,0.99002,0.79224,0.98902,0.34273,1.1449,0.000191875,0.000191875,0.000191875
72,5868.24,0.63337,0.3282,0.94187,0.96715,0.98578,0.98793,0.79119,0.98746,0.3491,1.13905,0.000185688,0.000185688,0.000185688
73,5949.49,0.64006,0.33529,0.94248,0.97066,0.98573,0.99009,0.79261,0.98885,0.3439,1.14287,0.0001795,0.0001795,0.0001795
74,6030.76,0.63104,0.3326,0.93943,0.96678,0.98665,0.98904,0.79256,0.99009,0.3443,1.14495,0.000173313,0.000173313,0.000173313
75,6112.38,0.62378,0.32321,0.93737,0.96416,0.98746,0.98937,0.79227,0.99369,0.35028,1.14784,0.000167125,0.000167125,0.000167125
76,6194.79,0.62034,0.32344,0.9348,0.96515,0.99004,0.99011,0.79626,0.98457,0.34078,1.14375,0.000160938,0.000160938,0.000160938
77,6275.88,0.61943,0.32389,0.9363,0.96735,0.98635,0.98916,0.79338,0.99078,0.34084,1.14376,0.00015475,0.00015475,0.00015475
78,6357.09,0.60848,0.31946,0.93299,0.96903,0.98576,0.99002,0.79381,0.98749,0.3429,1.14758,0.000148563,0.000148563,0.000148563
79,6438.01,0.60107,0.31287,0.92848,0.96753,0.98582,0.99018,0.79158,0.98467,0.34252,1.14751,0.000142375,0.000142375,0.000142375
80,6518.47,0.60411,0.31593,0.93092,0.96842,0.98396,0.98955,0.79262,0.98666,0.34409,1.14623,0.000136187,0.000136187,0.000136187
81,6598.9,0.59293,0.31438,0.92515,0.96413,0.98775,0.98927,0.79113,0.99481,0.34644,1.15053,0.00013,0.00013,0.00013
82,6679.37,0.58971,0.31118,0.92093,0.96976,0.98358,0.98873,0.78751,0.98748,0.34302,1.14789,0.000123812,0.000123812,0.000123812
83,6760.51,0.58417,0.31294,0.92065,0.97323,0.98331,0.98901,0.79383,0.98474,0.34394,1.14554,0.000117625,0.000117625,0.000117625
84,6841,0.58816,0.31016,0.9223,0.96781,0.98566,0.98887,0.79053,0.98475,0.34354,1.1448,0.000111438,0.000111438,0.000111438
85,6922,0.58095,0.30373,0.91976,0.96293,0.9875,0.98909,0.79079,0.99254,0.34455,1.14981,0.00010525,0.00010525,0.00010525
86,7002.87,0.5735,0.30575,0.91523,0.96757,0.98129,0.98875,0.79123,0.99377,0.3484,1.15595,9.90625e-05,9.90625e-05,9.90625e-05
87,7083.53,0.56564,0.29956,0.91271,0.96863,0.98367,0.98823,0.7917,0.99308,0.34681,1.15327,9.2875e-05,9.2875e-05,9.2875e-05
88,7164.07,0.56503,0.29843,0.916,0.96729,0.98751,0.98891,0.79464,0.98501,0.3433,1.14957,8.66875e-05,8.66875e-05,8.66875e-05
89,7245.18,0.56145,0.29984,0.91224,0.96783,0.985,0.98896,0.79175,0.99123,0.34432,1.15283,8.05e-05,8.05e-05,8.05e-05
90,7325.58,0.55931,0.29458,0.91101,0.9698,0.98221,0.98951,0.79291,0.99059,0.34523,1.15255,7.43125e-05,7.43125e-05,7.43125e-05
91,7406.2,0.47796,0.22196,0.87648,0.96554,0.98739,0.98938,0.79387,0.99148,0.34424,1.1587,6.8125e-05,6.8125e-05,6.8125e-05
92,7485.35,0.46491,0.21604,0.8695,0.96676,0.98708,0.98951,0.7933,0.98801,0.34435,1.15842,6.19375e-05,6.19375e-05,6.19375e-05
93,7565.07,0.45926,0.21328,0.868,0.96443,0.9883,0.98855,0.79312,0.99422,0.34204,1.16433,5.575e-05,5.575e-05,5.575e-05
94,7643.99,0.45116,0.21187,0.86529,0.96995,0.98955,0.99,0.79275,0.99493,0.34403,1.16111,4.95625e-05,4.95625e-05,4.95625e-05
95,7724.05,0.44807,0.21069,0.86607,0.96909,0.98557,0.98907,0.794,0.99523,0.34397,1.1657,4.3375e-05,4.3375e-05,4.3375e-05
96,7807.65,0.43893,0.20868,0.86003,0.9667,0.98995,0.99034,0.79407,0.99727,0.34616,1.1701,3.71875e-05,3.71875e-05,3.71875e-05
97,7890.22,0.4331,0.20502,0.85608,0.96608,0.98904,0.99048,0.79244,0.99647,0.34549,1.17118,3.1e-05,3.1e-05,3.1e-05
98,7973.39,0.43086,0.20435,0.85557,0.96945,0.98542,0.99063,0.79454,0.99576,0.34725,1.17162,2.48125e-05,2.48125e-05,2.48125e-05
99,8055.69,0.42402,0.20205,0.85438,0.97088,0.98444,0.99036,0.79256,0.99655,0.3456,1.17434,1.8625e-05,1.8625e-05,1.8625e-05
100,8137.88,0.42117,0.20334,0.85523,0.96501,0.9887,0.99033,0.79147,0.99651,0.34725,1.17543,1.24375e-05,1.24375e-05,1.24375e-05
