epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0291,1.3884,2.43989,1.4246,0.83478,0.87369,0.92446,0.59536,1.16718,0.90126,1.31865,0.00019484,0.00019484,0.00019484
2,138.006,1.25021,0.99287,1.34116,0.9175,0.93212,0.96498,0.66444,1.18503,0.69784,1.48405,0.000386971,0.000386971,0.000386971
3,200.809,1.23586,0.87888,1.34323,0.93219,0.90661,0.96146,0.67755,1.13821,0.70484,1.4311,0.000575221,0.000575221,0.000575221
4,265.149,1.22234,0.82794,1.33361,0.93688,0.95406,0.96987,0.684,1.12278,0.66482,1.42888,0.000570536,0.000570536,0.000570536
5,326.93,1.18329,0.77964,1.31395,0.96444,0.94585,0.97926,0.7001,1.10458,0.5604,1.41181,0.000564715,0.000564715,0.000564715
6,390.617,1.13851,0.73954,1.29371,0.92735,0.95169,0.97335,0.70576,1.02857,0.58146,1.32532,0.000558894,0.000558894,0.000558894
7,455.86,1.13255,0.68914,1.2853,0.93915,0.95511,0.97742,0.71704,1.10142,0.54814,1.37947,0.000553073,0.000553073,0.000553073
8,518.206,1.09809,0.66914,1.26286,0.94971,0.93782,0.97685,0.71878,1.00344,0.53533,1.28908,0.000547252,0.000547252,0.000547252
9,580.431,1.10824,0.67121,1.27352,0.95422,0.93847,0.97678,0.7028,1.05919,0.52456,1.34085,0.00054143,0.00054143,0.00054143
10,642.103,1.07546,0.6418,1.25718,0.95206,0.96638,0.98418,0.71449,1.03174,0.50865,1.30788,0.000535609,0.000535609,0.000535609
11,704.474,1.06909,0.61584,1.23333,0.97347,0.95273,0.98288,0.713,1.05685,0.47225,1.34332,0.000529788,0.000529788,0.000529788
12,767.019,1.06035,0.61158,1.23775,0.95794,0.95048,0.98319,0.7222,1.00138,0.47839,1.32227,0.000523967,0.000523967,0.000523967
13,829.188,1.05645,0.62141,1.24325,0.96439,0.97023,0.98298,0.72177,0.98103,0.48447,1.26391,0.000518146,0.000518146,0.000518146
14,892.313,1.03117,0.59129,1.22036,0.95138,0.96008,0.98116,0.73707,1.02089,0.50939,1.30043,0.000512324,0.000512324,0.000512324
15,955.763,1.02116,0.58791,1.21826,0.95584,0.96944,0.98545,0.73396,0.966,0.48981,1.25488,0.000506503,0.000506503,0.000506503
16,1018,1.02756,0.58111,1.21743,0.97277,0.96715,0.98666,0.73406,1.05838,0.45723,1.34568,0.000500682,0.000500682,0.000500682
17,1082.04,0.99245,0.57204,1.19685,0.96595,0.97632,0.98728,0.73322,1.02152,0.48408,1.32317,0.000494861,0.000494861,0.000494861
18,1144.53,0.98894,0.55917,1.19207,0.96364,0.97677,0.98525,0.74033,0.98147,0.44147,1.25575,0.00048904,0.00048904,0.00048904
19,1206.67,0.98001,0.5475,1.19331,0.97187,0.96486,0.98184,0.72172,1.00491,0.45031,1.27861,0.000483218,0.000483218,0.000483218
20,1268.63,0.96714,0.54705,1.18106,0.96109,0.96429,0.98189,0.73697,0.96511,0.4603,1.25582,0.000477397,0.000477397,0.000477397
21,1330.31,0.96636,0.53737,1.17849,0.95306,0.96182,0.98178,0.74327,0.96311,0.44062,1.2497,0.000471576,0.000471576,0.000471576
22,1392.96,0.96386,0.54361,1.1817,0.96774,0.97527,0.98449,0.74287,0.96244,0.43787,1.24075,0.000465755,0.000465755,0.000465755
23,1455.69,0.94962,0.52669,1.16098,0.96844,0.97354,0.98568,0.75078,1.01346,0.41261,1.31274,0.000459934,0.000459934,0.000459934
24,1518.08,0.9332,0.50734,1.16277,0.96857,0.9719,0.98528,0.75142,0.95066,0.44189,1.2435,0.000454112,0.000454112,0.000454112
25,1579.71,0.94181,0.51222,1.16569,0.9666,0.96806,0.98604,0.74847,1.0048,0.42983,1.2932,0.000448291,0.000448291,0.000448291
26,1641.11,0.93435,0.51628,1.15813,0.95241,0.97537,0.98399,0.74184,0.9444,0.42449,1.24118,0.00044247,0.00044247,0.00044247
27,1702.77,0.91279,0.49248,1.14148,0.96791,0.97502,0.98387,0.75283,0.92268,0.39269,1.22002,0.000436649,0.000436649,0.000436649
28,1764.4,0.91001,0.50518,1.14116,0.97529,0.96774,0.98462,0.75656,1.00595,0.4061,1.31441,0.000430828,0.000430828,0.000430828
29,1825.58,0.92103,0.50211,1.15521,0.95431,0.98008,0.98435,0.75814,0.92653,0.39654,1.21429,0.000425006,0.000425006,0.000425006
30,1887.24,0.90944,0.48699,1.14387,0.97847,0.96785,0.98827,0.75658,0.93367,0.38418,1.23524,0.000419185,0.000419185,0.000419185
31,1949.19,0.91948,0.49353,1.14578,0.96988,0.97594,0.98727,0.75964,0.96628,0.40822,1.26249,0.000413364,0.000413364,0.000413364
32,2009.96,0.88324,0.47215,1.12983,0.96174,0.97532,0.98772,0.75521,0.96537,0.4023,1.24482,0.000407543,0.000407543,0.000407543
33,2071.77,0.88924,0.48286,1.12324,0.96381,0.98104,0.98735,0.74663,1.00033,0.42973,1.2876,0.000401722,0.000401722,0.000401722
34,2133.06,0.87273,0.46992,1.12523,0.97422,0.97323,0.98609,0.75702,0.94289,0.41264,1.23118,0.0003959,0.0003959,0.0003959
35,2194.49,0.88253,0.47065,1.12585,0.97153,0.9729,0.98702,0.75388,0.93589,0.38097,1.22246,0.000390079,0.000390079,0.000390079
36,2256.97,0.85888,0.4569,1.11453,0.96292,0.97273,0.98409,0.75913,0.95087,0.39087,1.2495,0.000384258,0.000384258,0.000384258
37,2318.75,0.86915,0.45746,1.11736,0.96828,0.96785,0.98494,0.75481,0.91247,0.40047,1.21882,0.000378437,0.000378437,0.000378437
38,2379.79,0.85266,0.4492,1.11077,0.97046,0.96477,0.98526,0.76318,0.90406,0.38445,1.21539,0.000372616,0.000372616,0.000372616
39,2441.89,0.83635,0.44524,1.10276,0.95927,0.97182,0.98231,0.74271,0.93019,0.38318,1.22807,0.000366794,0.000366794,0.000366794
40,2504.25,0.84036,0.44932,1.10137,0.96606,0.98032,0.98618,0.75742,0.92042,0.39531,1.22531,0.000360973,0.000360973,0.000360973
41,2565.6,0.84146,0.44581,1.11083,0.96764,0.97844,0.98473,0.75969,0.90477,0.37152,1.20437,0.000355152,0.000355152,0.000355152
42,2626.98,0.83237,0.44213,1.11163,0.96378,0.97401,0.98647,0.76019,0.90096,0.37687,1.20178,0.000349331,0.000349331,0.000349331
43,2688.91,0.81409,0.43134,1.08443,0.97023,0.97643,0.98797,0.759,0.89659,0.37724,1.2082,0.00034351,0.00034351,0.00034351
44,2750.39,0.81409,0.43139,1.09383,0.97328,0.96594,0.98621,0.75836,0.93527,0.39001,1.24367,0.000337688,0.000337688,0.000337688
45,2810.98,0.80988,0.42638,1.08535,0.97521,0.96757,0.98522,0.76323,0.93034,0.392,1.23893,0.000331867,0.000331867,0.000331867
46,2872.7,0.80413,0.43329,1.08757,0.96858,0.97806,0.98575,0.76248,0.92497,0.38463,1.23312,0.000326046,0.000326046,0.000326046
47,2933.98,0.80165,0.41767,1.07546,0.97643,0.96597,0.98766,0.7652,0.92794,0.35812,1.23801,0.000320225,0.000320225,0.000320225
48,2994.88,0.79407,0.4224,1.07787,0.96287,0.98013,0.98733,0.76481,0.89643,0.36827,1.20089,0.000314404,0.000314404,0.000314404
49,3056.37,0.79532,0.42375,1.08265,0.96219,0.98412,0.98672,0.75742,0.98929,0.37653,1.30361,0.000308582,0.000308582,0.000308582
50,3117.46,0.78719,0.41373,1.07472,0.97571,0.97257,0.98625,0.75614,0.95126,0.38462,1.26583,0.000302761,0.000302761,0.000302761
51,3178.27,0.77177,0.40338,1.06152,0.97801,0.97522,0.98743,0.76059,0.91578,0.35552,1.21812,0.00029694,0.00029694,0.00029694
52,3239.92,0.77114,0.40283,1.06045,0.97478,0.96719,0.98696,0.75914,0.96652,0.36237,1.27494,0.000291119,0.000291119,0.000291119
53,3301.19,0.76464,0.4047,1.06219,0.97648,0.97209,0.985,0.75952,0.91741,0.36753,1.22635,0.000285298,0.000285298,0.000285298
54,3362.12,0.75891,0.39474,1.05989,0.97318,0.97392,0.98639,0.76386,0.8985,0.3652,1.21055,0.000279476,0.000279476,0.000279476
55,3423.38,0.75467,0.40151,1.05969,0.97043,0.97089,0.98399,0.76737,0.89289,0.35239,1.22365,0.000273655,0.000273655,0.000273655
56,3484.4,0.74594,0.39216,1.04936,0.96414,0.98139,0.98481,0.76413,0.92683,0.36564,1.23707,0.000267834,0.000267834,0.000267834
57,3544.93,0.74044,0.39095,1.04912,0.97424,0.96893,0.9876,0.77254,0.89332,0.35718,1.20847,0.000262013,0.000262013,0.000262013
58,3607.66,0.74106,0.38742,1.04941,0.97363,0.97732,0.98607,0.76719,0.90157,0.35554,1.21216,0.000256192,0.000256192,0.000256192
59,3669.71,0.7355,0.38674,1.05157,0.97208,0.98123,0.98631,0.76478,0.89556,0.34862,1.23251,0.00025037,0.00025037,0.00025037
60,3730.34,0.72557,0.38379,1.03997,0.98245,0.96952,0.98545,0.76875,0.93557,0.35973,1.26258,0.000244549,0.000244549,0.000244549
61,3791.96,0.71461,0.37792,1.0361,0.97709,0.97838,0.98502,0.76863,0.91198,0.35837,1.23678,0.000238728,0.000238728,0.000238728
62,3853.81,0.7203,0.38426,1.03352,0.97287,0.97441,0.98514,0.76631,0.93833,0.36279,1.26212,0.000232907,0.000232907,0.000232907
63,3914.19,0.70698,0.3691,1.03076,0.97949,0.97245,0.98561,0.76315,0.92077,0.35484,1.25087,0.000227086,0.000227086,0.000227086
64,3977.76,0.70073,0.37161,1.0258,0.9745,0.97277,0.98454,0.76788,0.91478,0.3638,1.23978,0.000221264,0.000221264,0.000221264
