epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0459,1.48096,2.66069,1.51069,0.84932,0.85702,0.91963,0.61946,1.26523,0.97525,1.45411,0.000195062,0.000195062,0.000195062
2,154.66,1.34029,1.17928,1.40203,0.89963,0.91792,0.94389,0.61338,1.22449,0.76126,1.39422,0.000387191,0.000387191,0.000387191
3,227.003,1.32291,1.0245,1.40225,0.94218,0.90222,0.9657,0.66929,1.18166,0.65969,1.38344,0.000575438,0.000575438,0.000575438
4,298.841,1.27453,0.93503,1.3784,0.89318,0.91811,0.94944,0.6343,1.21158,0.75245,1.39634,0.000570536,0.000570536,0.000570536
5,370.255,1.28358,0.90701,1.3864,0.89953,0.919,0.96498,0.67283,1.13058,0.6429,1.33083,0.000564715,0.000564715,0.000564715
6,441.67,1.25156,0.87124,1.37045,0.95464,0.9252,0.97652,0.7068,1.08883,0.57463,1.31546,0.000558894,0.000558894,0.000558894
7,513.362,1.22554,0.83537,1.36116,0.95174,0.92612,0.97735,0.68074,1.17989,0.58801,1.37072,0.000553073,0.000553073,0.000553073
8,584.66,1.19579,0.77735,1.33921,0.92822,0.93603,0.9725,0.69716,1.0868,0.56471,1.3024,0.000547252,0.000547252,0.000547252
9,655.766,1.18362,0.77201,1.31734,0.9444,0.95427,0.97611,0.70843,1.10117,0.55046,1.31675,0.00054143,0.00054143,0.00054143
10,727.245,1.16347,0.75318,1.30949,0.93411,0.95182,0.97757,0.71488,1.05758,0.54619,1.28777,0.000535609,0.000535609,0.000535609
11,798.187,1.15367,0.75094,1.30441,0.95688,0.95909,0.97893,0.71168,1.10168,0.52758,1.31127,0.000529788,0.000529788,0.000529788
12,869.455,1.12933,0.72721,1.29094,0.96351,0.95018,0.9762,0.70027,1.11119,0.52563,1.29901,0.000523967,0.000523967,0.000523967
13,939.622,1.13933,0.71292,1.29343,0.93394,0.94926,0.98003,0.71438,1.07497,0.51705,1.29055,0.000518146,0.000518146,0.000518146
14,1011.38,1.10733,0.7049,1.2813,0.94664,0.96351,0.97926,0.72426,1.06571,0.50979,1.29524,0.000512324,0.000512324,0.000512324
15,1082.17,1.11374,0.68924,1.26781,0.95223,0.97101,0.98156,0.73567,1.00166,0.49305,1.24541,0.000506503,0.000506503,0.000506503
16,1153.46,1.08958,0.67984,1.24942,0.96023,0.96124,0.98218,0.7209,1.04961,0.49605,1.24965,0.000500682,0.000500682,0.000500682
17,1224.03,1.07837,0.66159,1.23631,0.94428,0.95033,0.97888,0.73238,1.02834,0.5046,1.22889,0.000494861,0.000494861,0.000494861
18,1295.55,1.07576,0.65962,1.23265,0.96228,0.94493,0.97898,0.73433,1.00832,0.47969,1.19647,0.00048904,0.00048904,0.00048904
19,1366.35,1.08611,0.64904,1.22111,0.95992,0.96251,0.98068,0.74175,1.01198,0.4762,1.19766,0.000483218,0.000483218,0.000483218
20,1437.98,1.06788,0.64544,1.2125,0.96707,0.96808,0.98315,0.73753,1.00877,0.45248,1.15377,0.000477397,0.000477397,0.000477397
21,1508.89,1.05201,0.63312,1.18704,0.9485,0.9625,0.98222,0.74754,0.99069,0.47207,1.14337,0.000471576,0.000471576,0.000471576
22,1581.05,1.03954,0.61739,1.17735,0.95428,0.96616,0.98072,0.73945,0.99037,0.46132,1.13818,0.000465755,0.000465755,0.000465755
23,1651.59,1.04389,0.61292,1.17465,0.96388,0.97131,0.98507,0.74936,0.98819,0.43514,1.13067,0.000459934,0.000459934,0.000459934
24,1722.75,1.03336,0.59621,1.16866,0.96558,0.95332,0.98268,0.74097,0.99777,0.44772,1.11844,0.000454112,0.000454112,0.000454112
25,1793.2,1.02374,0.59779,1.1619,0.96775,0.95933,0.98415,0.74875,0.97729,0.41943,1.11647,0.000448291,0.000448291,0.000448291
26,1863.84,1.02035,0.57457,1.14961,0.95729,0.97577,0.98391,0.75553,0.96812,0.41956,1.10269,0.00044247,0.00044247,0.00044247
27,1934.41,1.01961,0.57779,1.15655,0.95555,0.96616,0.98289,0.73742,1.0107,0.42149,1.13283,0.000436649,0.000436649,0.000436649
28,2004.62,1.01696,0.57408,1.15048,0.96506,0.96773,0.98404,0.75253,0.99529,0.41127,1.1277,0.000430828,0.000430828,0.000430828
29,2076.66,1.00106,0.56965,1.14614,0.95546,0.98197,0.98415,0.74745,1.00312,0.41936,1.12613,0.000425006,0.000425006,0.000425006
30,2147.43,1.00754,0.55774,1.14573,0.96026,0.97276,0.98472,0.76025,0.96695,0.41151,1.10552,0.000419185,0.000419185,0.000419185
31,2218.41,0.98392,0.55348,1.12911,0.95871,0.97466,0.98398,0.75172,0.99503,0.42425,1.11796,0.000413364,0.000413364,0.000413364
32,2289.44,0.98222,0.54802,1.13096,0.9653,0.97367,0.98598,0.75412,0.97645,0.40636,1.10852,0.000407543,0.000407543,0.000407543
33,2359.96,0.98323,0.55703,1.13164,0.96854,0.97457,0.98478,0.75443,0.97814,0.40552,1.11452,0.000401722,0.000401722,0.000401722
34,2430.48,0.96782,0.54063,1.12897,0.9589,0.97123,0.98568,0.75681,0.97073,0.41166,1.10945,0.0003959,0.0003959,0.0003959
35,2502.21,0.9617,0.53628,1.11761,0.96664,0.9771,0.98661,0.76244,0.97629,0.40362,1.11681,0.000390079,0.000390079,0.000390079
36,2574.07,0.96462,0.52614,1.11564,0.96476,0.97595,0.98753,0.76444,0.96729,0.39475,1.10655,0.000384258,0.000384258,0.000384258
37,2645.27,0.95227,0.53023,1.11066,0.95538,0.97713,0.98765,0.76718,0.96639,0.39348,1.10127,0.000378437,0.000378437,0.000378437
38,2717.57,0.94606,0.52005,1.10397,0.96444,0.97293,0.9879,0.75497,0.9903,0.39954,1.12109,0.000372616,0.000372616,0.000372616
39,2788.67,0.93447,0.51764,1.1044,0.95936,0.96671,0.98551,0.76649,0.96073,0.40554,1.09897,0.000366794,0.000366794,0.000366794
40,2860.29,0.94141,0.51535,1.10649,0.96717,0.9646,0.98597,0.75747,0.98964,0.39892,1.12242,0.000360973,0.000360973,0.000360973
41,2931.47,0.9353,0.51339,1.10226,0.96311,0.97128,0.98544,0.76351,0.96791,0.39186,1.09942,0.000355152,0.000355152,0.000355152
42,3003.56,0.92982,0.50616,1.09505,0.97024,0.97418,0.98449,0.76201,0.97549,0.38686,1.10959,0.000349331,0.000349331,0.000349331
43,3074.43,0.92699,0.50426,1.09643,0.95847,0.97108,0.98417,0.75961,0.96994,0.41133,1.10569,0.00034351,0.00034351,0.00034351
44,3146.38,0.92293,0.48928,1.09299,0.97293,0.96473,0.98519,0.75961,0.97579,0.38763,1.10565,0.000337688,0.000337688,0.000337688
45,3217.86,0.91183,0.48982,1.08922,0.96713,0.97335,0.98607,0.75832,0.97901,0.38257,1.10857,0.000331867,0.000331867,0.000331867
46,3290.64,0.91172,0.49956,1.09025,0.95578,0.97521,0.98255,0.75775,0.99375,0.38863,1.12528,0.000326046,0.000326046,0.000326046
47,3362.25,0.90359,0.48669,1.08813,0.97482,0.97077,0.9861,0.75968,0.97763,0.37751,1.11098,0.000320225,0.000320225,0.000320225
