epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.456,1.36453,1.93777,1.52738,0.9323,0.94845,0.97614,0.69892,1.07212,0.62804,1.34313,0.00020748,0.00020748,0.00020748
2,228.299,1.20039,0.84776,1.38344,0.91677,0.93111,0.96548,0.7047,1.08596,0.62643,1.34078,0.000411696,0.000411696,0.000411696
3,332.016,1.17969,0.76307,1.36228,0.93887,0.9609,0.97239,0.68643,1.1098,0.55623,1.38149,0.000611788,0.000611788,0.000611788
4,434.223,1.14996,0.71166,1.3505,0.94679,0.962,0.98138,0.71584,1.05815,0.53783,1.33165,0.000606437,0.000606437,0.000606437
5,537.775,1.11845,0.64598,1.33892,0.93601,0.97271,0.97604,0.72543,1.04484,0.51665,1.34111,0.00060025,0.00060025,0.00060025
6,639.962,1.10982,0.62499,1.33669,0.93259,0.95787,0.97987,0.72128,1.08434,0.53306,1.35526,0.000594062,0.000594062,0.000594062
7,741.935,1.09283,0.60303,1.32209,0.96544,0.95199,0.97831,0.72163,1.04404,0.47117,1.32143,0.000587875,0.000587875,0.000587875
8,844.669,1.06273,0.57908,1.29997,0.96374,0.94515,0.98411,0.72329,1.05978,0.47868,1.32436,0.000581687,0.000581687,0.000581687
9,946.445,1.04928,0.55692,1.29223,0.9512,0.95864,0.9819,0.73141,1.03799,0.4589,1.32136,0.0005755,0.0005755,0.0005755
10,1048.68,1.02878,0.54335,1.29304,0.96533,0.9629,0.98394,0.746,0.99457,0.43147,1.32298,0.000569313,0.000569313,0.000569313
11,1151.26,1.03562,0.52856,1.28846,0.96451,0.96175,0.98469,0.73352,1.04774,0.45756,1.32816,0.000563125,0.000563125,0.000563125
12,1253.42,1.01998,0.53041,1.28851,0.95982,0.96579,0.98196,0.74884,1.00799,0.44743,1.30242,0.000556938,0.000556938,0.000556938
13,1356.69,1.02387,0.53043,1.29246,0.93952,0.97595,0.98502,0.73805,1.04736,0.45118,1.34492,0.00055075,0.00055075,0.00055075
14,1458.24,1.00321,0.50763,1.27451,0.95173,0.97114,0.98304,0.741,1.0373,0.42803,1.35203,0.000544563,0.000544563,0.000544563
15,1560.35,0.98198,0.5051,1.272,0.95252,0.97036,0.98309,0.75519,1.00263,0.42429,1.30111,0.000538375,0.000538375,0.000538375
16,1663.66,0.98591,0.49803,1.26117,0.9737,0.96033,0.98624,0.76471,0.97935,0.41867,1.28018,0.000532187,0.000532187,0.000532187
17,1765.6,0.98209,0.49678,1.26448,0.95884,0.9633,0.9841,0.75469,0.98935,0.42041,1.28478,0.000526,0.000526,0.000526
18,1868.24,0.95609,0.47359,1.24165,0.96802,0.96163,0.98255,0.75805,1.00675,0.40869,1.30326,0.000519812,0.000519812,0.000519812
19,1969.89,0.95547,0.47571,1.24476,0.94887,0.97185,0.98441,0.76397,0.98994,0.40603,1.30453,0.000513625,0.000513625,0.000513625
20,2071.9,0.94936,0.46841,1.24157,0.9634,0.97843,0.98736,0.74962,1.01718,0.42867,1.2914,0.000507438,0.000507438,0.000507438
21,2175.19,0.93818,0.46251,1.23428,0.95627,0.97543,0.98397,0.75535,0.99778,0.40097,1.3286,0.00050125,0.00050125,0.00050125
22,2277.47,0.92437,0.4632,1.22395,0.96613,0.97742,0.98498,0.77284,0.95912,0.38018,1.27964,0.000495063,0.000495063,0.000495063
23,2380.52,0.92037,0.45719,1.22653,0.9552,0.97706,0.98562,0.7538,0.99577,0.40151,1.31802,0.000488875,0.000488875,0.000488875
24,2482.9,0.91142,0.45062,1.22224,0.95683,0.97904,0.98512,0.7563,1.00542,0.40667,1.31457,0.000482687,0.000482687,0.000482687
25,2584.72,0.90168,0.44594,1.22851,0.95821,0.97921,0.9833,0.76265,0.98513,0.38233,1.32502,0.0004765,0.0004765,0.0004765
26,2687.56,0.90788,0.44619,1.22276,0.96688,0.97796,0.98494,0.76043,1.01427,0.39213,1.31474,0.000470312,0.000470312,0.000470312
27,2789.56,0.90644,0.43702,1.21584,0.96483,0.96178,0.98094,0.75975,0.99099,0.39257,1.31498,0.000464125,0.000464125,0.000464125
28,2891.56,0.88549,0.435,1.22091,0.96464,0.9666,0.98354,0.76812,0.95789,0.37501,1.2883,0.000457938,0.000457938,0.000457938
29,2994.64,0.88677,0.42767,1.21211,0.98048,0.96881,0.9856,0.7646,0.97186,0.37567,1.29959,0.00045175,0.00045175,0.00045175
30,3097.79,0.8835,0.42415,1.20605,0.963,0.96963,0.98563,0.78518,0.94648,0.37491,1.28322,0.000445562,0.000445562,0.000445562
31,3200.71,0.86708,0.41556,1.18782,0.97055,0.97191,0.98491,0.7708,0.94583,0.37502,1.26963,0.000439375,0.000439375,0.000439375
32,3302.76,0.86414,0.4217,1.19201,0.96633,0.97017,0.98523,0.77864,0.94481,0.37367,1.28896,0.000433187,0.000433187,0.000433187
33,3404.59,0.86658,0.41554,1.19671,0.958,0.97642,0.98419,0.77227,0.96347,0.36621,1.28277,0.000427,0.000427,0.000427
34,3507.44,0.85055,0.40092,1.18083,0.97547,0.96477,0.98513,0.78277,0.96111,0.37594,1.29032,0.000420812,0.000420812,0.000420812
35,3609.22,0.86237,0.41101,1.18042,0.95433,0.97691,0.98524,0.77602,0.96236,0.37559,1.29597,0.000414625,0.000414625,0.000414625
36,3711.16,0.83856,0.40224,1.17163,0.97766,0.97057,0.986,0.77873,0.95898,0.36519,1.29026,0.000408438,0.000408438,0.000408438
37,3814.09,0.84253,0.39825,1.16174,0.97474,0.9664,0.98503,0.78235,0.94605,0.36959,1.27456,0.00040225,0.00040225,0.00040225
38,3916.08,0.82845,0.40278,1.15771,0.9679,0.97624,0.98776,0.77638,0.97228,0.36555,1.28712,0.000396063,0.000396063,0.000396063
39,4019.17,0.83027,0.39552,1.16172,0.97038,0.97471,0.98609,0.77757,0.97479,0.37289,1.30853,0.000389875,0.000389875,0.000389875
40,4120.97,0.82888,0.39299,1.16077,0.96771,0.97598,0.98607,0.78406,0.95581,0.37302,1.29486,0.000383688,0.000383688,0.000383688
41,4222.81,0.8163,0.3945,1.16266,0.98,0.96574,0.98451,0.77534,0.97012,0.36406,1.30941,0.0003775,0.0003775,0.0003775
42,4325.56,0.81793,0.39056,1.15595,0.96987,0.97928,0.98461,0.77876,0.9599,0.36109,1.28971,0.000371313,0.000371313,0.000371313
43,4427.18,0.81179,0.38238,1.15521,0.96599,0.96948,0.98453,0.7719,0.96921,0.37506,1.32031,0.000365125,0.000365125,0.000365125
44,4529.63,0.7973,0.3777,1.15209,0.96639,0.96598,0.98478,0.78602,0.94918,0.35857,1.29927,0.000358938,0.000358938,0.000358938
45,4632.11,0.79798,0.37819,1.14428,0.97469,0.97207,0.98392,0.77633,0.97829,0.35963,1.316,0.00035275,0.00035275,0.00035275
46,4734.4,0.78963,0.37705,1.14015,0.97054,0.97646,0.98691,0.77939,0.96664,0.35545,1.3147,0.000346563,0.000346563,0.000346563
47,4836.85,0.79163,0.37977,1.14836,0.95774,0.98081,0.98591,0.77876,0.97199,0.36563,1.34439,0.000340375,0.000340375,0.000340375
48,4938.99,0.77574,0.37311,1.13304,0.96791,0.97407,0.98603,0.77402,0.97283,0.36356,1.34397,0.000334188,0.000334188,0.000334188
49,5040.75,0.77489,0.36664,1.13882,0.97325,0.97237,0.98439,0.7794,0.9548,0.35571,1.32005,0.000328,0.000328,0.000328
50,5144.86,0.77304,0.36732,1.12604,0.96348,0.97319,0.98417,0.77987,0.97048,0.36223,1.32092,0.000321812,0.000321812,0.000321812
51,5246.65,0.76102,0.36181,1.1245,0.9664,0.97472,0.98445,0.77906,0.95387,0.35973,1.3259,0.000315625,0.000315625,0.000315625
52,5348.42,0.76178,0.35564,1.12506,0.97603,0.96328,0.98522,0.78571,0.95494,0.35419,1.30656,0.000309437,0.000309437,0.000309437
53,5451.06,0.75488,0.36046,1.11958,0.97286,0.97071,0.98529,0.7728,0.99212,0.36237,1.33294,0.00030325,0.00030325,0.00030325
54,5553.19,0.75322,0.35676,1.11387,0.97,0.97959,0.98731,0.7852,0.96446,0.34735,1.30589,0.000297063,0.000297063,0.000297063
55,5656.04,0.74475,0.35044,1.11274,0.97662,0.97387,0.98555,0.78583,0.95971,0.34855,1.30693,0.000290875,0.000290875,0.000290875
56,5758.06,0.73332,0.34988,1.1032,0.97411,0.97269,0.98496,0.78809,0.96569,0.34007,1.32367,0.000284688,0.000284688,0.000284688
57,5860.41,0.72826,0.34633,1.10164,0.95942,0.98479,0.98455,0.77962,0.97349,0.35427,1.32827,0.0002785,0.0002785,0.0002785
58,5963.16,0.72381,0.33852,1.09449,0.96931,0.97087,0.98545,0.7828,0.97148,0.35732,1.33406,0.000272313,0.000272313,0.000272313
59,6064.94,0.72437,0.34194,1.09042,0.97681,0.96488,0.98587,0.7841,0.96616,0.35021,1.32877,0.000266125,0.000266125,0.000266125
60,6167.11,0.71197,0.3403,1.08164,0.97657,0.97006,0.98553,0.78727,0.96279,0.34361,1.33807,0.000259938,0.000259938,0.000259938
61,6269.51,0.71149,0.33592,1.08886,0.97589,0.97253,0.98728,0.78323,0.97323,0.34492,1.33232,0.00025375,0.00025375,0.00025375
62,6371.31,0.71952,0.33695,1.08916,0.96726,0.98217,0.98502,0.78381,0.96729,0.34414,1.33635,0.000247563,0.000247563,0.000247563
63,6473.72,0.70942,0.3347,1.0854,0.9754,0.97451,0.98525,0.79033,0.95372,0.3455,1.33239,0.000241375,0.000241375,0.000241375
64,6575.68,0.70091,0.32715,1.07341,0.98229,0.972,0.98452,0.78569,0.96297,0.34959,1.33814,0.000235188,0.000235188,0.000235188
65,6679.5,0.69688,0.32804,1.06881,0.97034,0.98069,0.98658,0.78757,0.96105,0.34131,1.33091,0.000229,0.000229,0.000229
66,6783.38,0.69678,0.32893,1.07543,0.97918,0.97614,0.98749,0.79216,0.96671,0.3393,1.34763,0.000222813,0.000222813,0.000222813
67,6885.34,0.68166,0.31964,1.06765,0.97315,0.9743,0.9869,0.78868,0.96435,0.34401,1.34354,0.000216625,0.000216625,0.000216625
68,6987.94,0.68539,0.32397,1.06742,0.97507,0.97999,0.9855,0.78441,0.96439,0.34395,1.33462,0.000210437,0.000210437,0.000210437
69,7090.13,0.67595,0.31804,1.06163,0.97041,0.98561,0.98686,0.78443,0.9714,0.33613,1.34906,0.00020425,0.00020425,0.00020425
