epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6873,1.62183,4.63216,1.611,0.43699,0.60601,0.54337,0.36211,1.29777,2.7064,1.29305,0.000232195,0.000232195,0.000232195
2,36.6752,1.39476,2.10949,1.45442,0.64179,0.71881,0.75335,0.4869,1.11731,1.67063,1.36233,0.00046554,0.00046554,0.00046554
3,51.228,1.34365,1.54667,1.40452,0.77968,0.68646,0.85305,0.58174,1.09879,1.40769,1.33261,0.000694173,0.000694173,0.000694173
4,65.3983,1.31025,1.36659,1.4305,0.87199,0.78565,0.91851,0.64878,1.07118,1.28137,1.30557,0.000692794,0.000692794,0.000692794
5,79.6949,1.25308,1.19865,1.39706,0.56719,0.57177,0.6295,0.37182,1.55813,2.16573,1.70742,0.000685726,0.000685726,0.000685726
6,93.8439,1.17763,1.03098,1.34001,0.84078,0.86578,0.9423,0.73697,0.88954,0.85404,1.22839,0.000678657,0.000678657,0.000678657
7,108.183,1.18209,0.96112,1.33682,0.88126,0.93525,0.97575,0.74268,0.95597,0.75633,1.20063,0.000671588,0.000671588,0.000671588
8,122.882,1.13277,0.92397,1.32741,0.94557,0.96012,0.98135,0.74341,0.94509,0.62701,1.23026,0.00066452,0.00066452,0.00066452
9,137.539,1.16563,0.97722,1.36017,0.93645,0.92205,0.97543,0.75396,0.93308,0.70038,1.19562,0.000657451,0.000657451,0.000657451
10,151.986,1.12627,0.86548,1.30485,0.93999,0.94262,0.9734,0.67273,1.248,0.70249,1.3791,0.000650383,0.000650383,0.000650383
11,166.442,1.04945,0.81909,1.26185,0.95369,0.96489,0.97612,0.69686,1.04886,0.64405,1.27225,0.000643314,0.000643314,0.000643314
12,180.708,1.08011,0.80388,1.29321,0.88236,0.97526,0.97296,0.76118,0.8758,0.62691,1.16469,0.000636245,0.000636245,0.000636245
13,195.148,1.05704,0.78655,1.26079,0.92996,0.96642,0.97299,0.7687,0.88556,0.58958,1.17068,0.000629177,0.000629177,0.000629177
14,209.283,1.02348,0.74648,1.22532,0.96183,0.95872,0.97499,0.75184,0.87322,0.58202,1.1651,0.000622108,0.000622108,0.000622108
15,223.586,0.9996,0.75013,1.2441,0.94477,0.96671,0.97623,0.77993,0.85251,0.5503,1.1399,0.00061504,0.00061504,0.00061504
16,238.06,0.98567,0.72778,1.22482,0.93312,0.96831,0.97738,0.77554,0.85879,0.56843,1.16856,0.000607971,0.000607971,0.000607971
